---,Clothing Slot,Female Mesh,Male Mesh,Material Config,OpacityMask
Zombie_Shorts,"Lowerbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Shorts/SK_F_Shorts.SK_F_Shorts'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Shorts/SK_M_Shorts.SK_M_Shorts'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Shorts/MI_Short_Zombie.MI_Short_Zombie""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Lowerbody_Shorts.T_Mask_Lowerbody_Shorts'"
Hawaiian_Shorts,"Lowerbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Shorts/SK_F_Shorts.SK_F_Shorts'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Shorts/SK_M_Shorts.SK_M_Shorts'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Shorts/MI_Short_Hawaiian.MI_Short_Hawaiian""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Lowerbody_Shorts.T_Mask_Lowerbody_Shorts'"
Shirt_LongSleeves_(Base),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/SK_F_Longsleeves_TShirt.SK_F_Longsleeves_TShirt'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/SK_M_Longsleeves_TShirt.SK_M_Longsleeves_TShirt'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/MI_LongsleevesShirt_Base.MI_LongsleevesShirt_Base""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody.T_Mask_Upperbody'"
Shirt_Longsleeves_(Torn),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/SK_F_Longsleeves_TShirt.SK_F_Longsleeves_TShirt'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/SK_M_Longsleeves_TShirt.SK_M_Longsleeves_TShirt'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/MI_LongsleevesShirt_Torn.MI_LongsleevesShirt_Torn""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody.T_Mask_Upperbody'"
Shirt_Longsleeves_(Camo),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/SK_F_Longsleeves_TShirt.SK_F_Longsleeves_TShirt'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/SK_M_Longsleeves_TShirt.SK_M_Longsleeves_TShirt'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/MI_LongsleevesShirt_Camo.MI_LongsleevesShirt_Camo""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody.T_Mask_Upperbody'"
Shirt_Longsleeves_(Construction),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/SK_F_Longsleeves_TShirt.SK_F_Longsleeves_TShirt'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/SK_M_Longsleeves_TShirt.SK_M_Longsleeves_TShirt'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/MI_LongSleeves_Construction_A.MI_LongSleeves_Construction_A""'))","None"
Shirt_Longsleeves_(Construction_2),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/SK_F_Longsleeves_TShirt.SK_F_Longsleeves_TShirt'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/SK_M_Longsleeves_TShirt.SK_M_Longsleeves_TShirt'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/MI_LongSleeves_Construction_B.MI_LongSleeves_Construction_B""'))","None"
Wool_Sweater,"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/SK_F_Longsleeves_TShirt.SK_F_Longsleeves_TShirt'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/SK_M_Longsleeves_TShirt.SK_M_Longsleeves_TShirt'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/LongSleeves/MI_LongSleeves_HeavyWool.MI_LongSleeves_HeavyWool""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody.T_Mask_Upperbody'"
Wool_Jacket,"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Jacket/SK_F_Jacket.SK_F_Jacket'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Jacket/SK_M_Jacket.SK_M_Jacket'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Jacket/MI_Sweater_Base_v2.MI_Sweater_Base_v2""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody.T_Mask_Upperbody'"
Leather_Jacket,"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Jacket/SK_F_Jacket.SK_F_Jacket'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Jacket/SK_M_Jacket.SK_M_Jacket'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Jacket/MI_LeatherJacket_v2.MI_LeatherJacket_v2""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody.T_Mask_Upperbody'"
Winter_Cap,"Head","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Winter_Cap/SK_F_Winter_Beanie.SK_F_Winter_Beanie'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Winter_Cap/SK_M_Winter_Beanie.SK_M_Winter_Beanie'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Hats/Winter_Cap/MI_Winter_Beanie.MI_Winter_Beanie""'))","None"
Shoes_A,"Shoes","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Shoes/SK_F_SlipOnShoes.SK_F_SlipOnShoes'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Shoes/SK_M_SlipOnShoes.SK_M_SlipOnShoes'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Shoes/MI_Shoes_MatInst.MI_Shoes_MatInst""'))","None"
Ragged_Cape_Hood,"Head","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Old_Hood/SK_F_OldHood.SK_F_OldHood'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Old_Hood/SK_M_OldHood.SK_M_OldHood'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Hats/Old_Hood/MI_OldHood.MI_OldHood""'))","None"
Boots_Black,"Shoes","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Shoes/Boots/SK_Boots_Female.SK_Boots_Female'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Shoes/Boots/SK_Boots_Male.SK_Boots_Male'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Shoes/Boots/MI_Boots_A.MI_Boots_A""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Feet.T_Mask_Feet'"
Boots_Brown,"Shoes","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Shoes/Boots/SK_Boots_Female.SK_Boots_Female'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Shoes/Boots/SK_Boots_Male.SK_Boots_Male'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Shoes/Boots/MI_Boots_B.MI_Boots_B""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Feet.T_Mask_Feet'"
Boots_Brown_Dirty,"Shoes","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Shoes/Boots/SK_Boots_Female.SK_Boots_Female'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Shoes/Boots/SK_Boots_Male.SK_Boots_Male'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Shoes/Boots/MI_Boots_B_Dirty.MI_Boots_B_Dirty""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Feet.T_Mask_Feet'"
Old_Robes,"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Training_Robes/SK_F_OldRobes.SK_F_OldRobes'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Training_Robes/SK_M_OldRobes.SK_M_OldRobes'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Training_Robes/MI_OldRobes.MI_OldRobes""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody_ShortSleeves.T_Mask_Upperbody_ShortSleeves'"
Basic_Shoes,"Shoes","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Shoes/BasicShoes/SK_F_Basic_Shoes.SK_F_Basic_Shoes'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Shoes/BasicShoes/SK_M_Basic_Shoes.SK_M_Basic_Shoes'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Shoes/BasicShoes/MI_Shoes_Base.MI_Shoes_Base""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Feet.T_Mask_Feet'"
Black_Sneakers,"Shoes","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Shoes/BasicShoes/SK_F_Basic_Shoes.SK_F_Basic_Shoes'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Shoes/BasicShoes/SK_M_Basic_Shoes.SK_M_Basic_Shoes'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Shoes/BasicShoes/MI_Shoes_Black.MI_Shoes_Black""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Feet.T_Mask_Feet'"
Hat_1_Hay,"Head","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/SK_F_Hat_A.SK_F_Hat_A'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/SK_M_Hat_A.SK_M_Hat_A'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/MI_Hat_Hay.MI_Hat_Hay""'))","None"
Hat_1_Leather,"Head","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/SK_F_Hat_A.SK_F_Hat_A'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/SK_M_Hat_A.SK_M_Hat_A'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/MI_Hat_Leather.MI_Hat_Leather""'))","None"
Hat_1_FlowerPattern,"Head","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/SK_F_Hat_A.SK_F_Hat_A'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/SK_M_Hat_A.SK_M_Hat_A'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/MI_Hat_Fabric.MI_Hat_Fabric""'))","None"
Hat_2_Hay,"Head","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/SK_F_Hat_B.SK_F_Hat_B'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/SK_M_Hat_B.SK_M_Hat_B'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/MI_Hat_Hay.MI_Hat_Hay""'))","None"
Hat_2_Leather,"Head","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/SK_F_Hat_B.SK_F_Hat_B'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/SK_M_Hat_B.SK_M_Hat_B'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/MI_Hat_Leather.MI_Hat_Leather""'))","None"
Hat_2_FlowerPattern,"Head","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/SK_F_Hat_B.SK_F_Hat_B'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/SK_M_Hat_B.SK_M_Hat_B'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Hats/Hats/MI_Hat_Fabric.MI_Hat_Fabric""'))","None"
Sleeveless_T-Shirt_(Base),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/Sleeveless/SK_F_Sleeveless_TShirt.SK_F_Sleeveless_TShirt'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/Sleeveless/SK_M_Sleeveless_TShirt.SK_M_Sleeveless_TShirt'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/Sleeveless/MI_Sleeveless_Shirt_Base.MI_Sleeveless_Shirt_Base""'))","None"
Sleeveless_T-Shirt_(Camo),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/Sleeveless/SK_F_Sleeveless_TShirt.SK_F_Sleeveless_TShirt'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/Sleeveless/SK_M_Sleeveless_TShirt.SK_M_Sleeveless_TShirt'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/Sleeveless/MI_Sleeveless_Shirt_Camo.MI_Sleeveless_Shirt_Camo""'))","None"
Classic_Sunglasses,"Accessory","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/SK_F_Glasses_A.SK_F_Glasses_A'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/SK_M_Glasses_A.SK_M_Glasses_A'","((""Cloth"", None),(""Frame"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/MI_Glasses_FR_A.MI_Glasses_FR_A""'),(""Glass"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/MI_Glass_Black.MI_Glass_Black""'))","None"
Lecture_Glasses,"Accessory","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/SK_F_Glasses_B.SK_F_Glasses_B'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/SK_M_Glasses_B.SK_M_Glasses_B'","((""Cloth"", None),(""Glass"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/MI_Glass_Transparent.MI_Glass_Transparent""'),(""Frame"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/MI_Glasses_SR_B.MI_Glasses_SR_B""'))","None"
Leopard_Glasses,"Accessory","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/SK_F_Glasses_A.SK_F_Glasses_A'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/SK_M_Glasses_A.SK_M_Glasses_A'","((""Cloth"", None),(""Frame"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/MI_Glasses_FR_B.MI_Glasses_FR_B""'),(""Glass"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/MI_Glass_Transparent_Brown.MI_Glass_Transparent_Brown""'))","None"
Metal_Sunglasses,"Accessory","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/SK_F_Glasses_B.SK_F_Glasses_B'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/SK_M_Glasses_B.SK_M_Glasses_B'","((""Cloth"", None),(""Glass"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/MI_Glass_Black.MI_Glass_Black""'),(""Frame"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Glasses/MI_Glasses_SR_A.MI_Glasses_SR_A""'))","None"
Polo_Shirt_(Base),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Polo_Shirt/SK_F_PoloShirt.SK_F_PoloShirt'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Polo_Shirt/SK_M_PoloShirt.SK_M_PoloShirt'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Polo_Shirt/MI_PoloShirt_Dark.MI_PoloShirt_Dark""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody.T_Mask_Upperbody'"
Polo_Shirt_(Tartan),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Polo_Shirt/SK_F_PoloShirt.SK_F_PoloShirt'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Polo_Shirt/SK_M_PoloShirt.SK_M_PoloShirt'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Polo_Shirt/MI_PoloShirt_Tartan.MI_PoloShirt_Tartan""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody.T_Mask_Upperbody'"
Polo_Shirt_(Camo),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Polo_Shirt/SK_F_PoloShirt.SK_F_PoloShirt'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Polo_Shirt/SK_M_PoloShirt.SK_M_PoloShirt'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Polo_Shirt/MI_PoloShirt_Camo.MI_PoloShirt_Camo""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody.T_Mask_Upperbody'"
Dirty_Jacket,"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Jacket/SK_F_Jacket.SK_F_Jacket'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Jacket/SK_M_Jacket.SK_M_Jacket'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Jacket/MI_Sweater_Dirty2.MI_Sweater_Dirty2""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody.T_Mask_Upperbody'"
Dirty_Trousers,"Lowerbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/SK_F_Pants.SK_F_Pants'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/SK_M_Pants.SK_M_Pants'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/MI_DirtyJeans.MI_DirtyJeans""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Lowerbody.T_Mask_Lowerbody'"
Dirty_Wraps,"Shoes","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Shoes/Wraps/SK_F_FootWraps.SK_F_FootWraps'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Shoes/Wraps/SK_M_FootWraps.SK_M_FootWraps'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Shoes/Wraps/MI_Wraps.MI_Wraps""'))","None"
Monster_Horns_A,"Accessory","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Horns/SK_F_Horns.SK_F_Horns'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Horns/SK_M_Horns.SK_M_Horns'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Horns/MI_Horns_V1.MI_Horns_V1""'))","None"
Monster_Horns_B,"Accessory","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Horns/SK_F_Horns.SK_F_Horns'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Horns/SK_M_Horns.SK_M_Horns'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Horns/MI_Horns_V2.MI_Horns_V2""'))","None"
Leather_Pants,"Lowerbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/SK_F_Pants.SK_F_Pants'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/SK_M_Pants.SK_M_Pants'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/MI_LeatherPants.MI_LeatherPants""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Lowerbody.T_Mask_Lowerbody'"
Headband,"Accessory","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Headband/SK_F_Sweatband.SK_F_Sweatband'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Headband/SK_M_Sweatband.SK_M_Sweatband'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Accessories/Headband/MI_Headband.MI_Headband""'))","None"
Hair_Mohawk,"Hair","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_F_Hair_Short_Mohawk.SK_F_Hair_Short_Mohawk'","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_M_Hair_Short_Mohawk.SK_M_Hair_Short_Mohawk'","((""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Final_HairMohawk_MatInst.MI_Final_HairMohawk_MatInst""'))","None"
Construction_Vest,"Custom_A","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Others/SK_F_Vest.SK_F_Vest'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Others/SK_M_Vest.SK_M_Vest'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Others/MI_ConstructionVest.MI_ConstructionVest""'))","None"
Construction_Vest_2,"Custom_A","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Others/SK_F_Vest.SK_F_Vest'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Others/SK_M_Vest.SK_M_Vest'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Others/MI_ConstructionVest_B.MI_ConstructionVest_B""'))","None"
Construction_Helmet,"Head","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Construction_Helmet/SK_F_ConstructionHelmet.SK_F_ConstructionHelmet'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Construction_Helmet/SK_M_ConstructionHelmet.SK_M_ConstructionHelmet'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Hats/Construction_Helmet/MI_ConstructionHat.MI_ConstructionHat""'))","None"
Construction_Helmet_2,"Head","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Construction_Helmet/SK_F_ConstructionHelmet.SK_F_ConstructionHelmet'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Construction_Helmet/SK_M_ConstructionHelmet.SK_M_ConstructionHelmet'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Hats/Construction_Helmet/MI_ConstructionHat_B.MI_ConstructionHat_B""'))","None"
