width=320
height=240
20160723T141107.490409 frame_000000
20160723T141133.574577 frame_000873
20160723T141133.596783 frame_000874
20160723T141133.621427 frame_000875
20160723T141133.642934 frame_000876
20160723T141133.671664 frame_000877
20160723T141133.693829 frame_000878
20160723T141133.721692 frame_000879
20160723T141133.743271 frame_000880
20160723T141133.771248 frame_000881
20160723T141133.793835 frame_000882
20160723T141133.821418 frame_000883
20160723T141133.842813 frame_000884
20160723T141133.871651 frame_000885
20160723T141133.894838 frame_000886
20160723T141133.921914 frame_000887
20160723T141133.955693 frame_000888
20160723T141133.993755 frame_000889
20160723T141134.020174 frame_000890
20160723T141134.053487 frame_000891
20160723T141134.090497 frame_000892
20160723T141134.125978 frame_000893
20160723T141134.154572 frame_000894
20160723T141134.194511 frame_000895
20160723T141134.224231 frame_000896
20160723T141134.255878 frame_000897
20160723T141134.295201 frame_000898
20160723T141134.323207 frame_000899
20160723T141134.344929 frame_000900
20160723T141134.373039 frame_000901
20160723T141134.394914 frame_000902
20160723T141134.423098 frame_000903
20160723T141134.456375 frame_000904
20160723T141134.495031 frame_000905
20160723T141134.522504 frame_000906
20160723T141134.543589 frame_000907
20160723T141134.572366 frame_000908
20160723T141134.594539 frame_000909
20160723T141134.622465 frame_000910
20160723T141134.643620 frame_000911
20160723T141134.669860 frame_000912
20160723T141134.703370 frame_000913
20160723T141134.739726 frame_000914
20160723T141134.770601 frame_000915
20160723T141134.802312 frame_000916
20160723T141134.842379 frame_000917
20160723T141134.871749 frame_000918
20160723T141134.894277 frame_000919
20160723T141134.921644 frame_000920
20160723T141134.955782 frame_000921
20160723T141134.993971 frame_000922
20160723T141135.022446 frame_000923
20160723T141135.054620 frame_000924
20160723T141135.094601 frame_000925
20160723T141135.122094 frame_000926
20160723T141135.152406 frame_000927
20160723T141135.189590 frame_000928
20160723T141135.219489 frame_000929
20160723T141135.264228 frame_000930
20160723T141135.287870 frame_000931
20160723T141135.319494 frame_000932
20160723T141135.344858 frame_000933
20160723T141135.371233 frame_000934
20160723T141135.393552 frame_000935
20160723T141135.421269 frame_000936
20160723T141135.453904 frame_000937
20160723T141135.502718 frame_000938
20160723T141135.543795 frame_000939
20160723T141135.571353 frame_000940
20160723T141135.603915 frame_000941
20160723T141135.639747 frame_000942
20160723T141135.669516 frame_000943
20160723T141135.703025 frame_000944
20160723T141135.739232 frame_000945
20160723T141135.769035 frame_000946
20160723T141135.790084 frame_000947
20160723T141135.818825 frame_000948
20160723T141135.839744 frame_000949
20160723T141135.873084 frame_000950
20160723T141135.896752 frame_000951
20160723T141135.919730 frame_000952
20160723T141135.954013 frame_000953
20160723T141135.975847 frame_000954
20160723T141136.004661 frame_000955
20160723T141136.042741 frame_000956
20160723T141136.071756 frame_000957
20160723T141136.092884 frame_000958
20160723T141136.119554 frame_000959
20160723T141136.140505 frame_000960
20160723T141136.169325 frame_000961
20160723T141136.190563 frame_000962
20160723T141136.223808 frame_000963
20160723T141136.244776 frame_000964
20160723T141136.270415 frame_000965
20160723T141136.292569 frame_000966
20160723T141136.324116 frame_000967
20160723T141136.345034 frame_000968
20160723T141136.370170 frame_000969
20160723T141136.402853 frame_000970
20160723T141136.439613 frame_000971
20160723T141136.475708 frame_000972
20160723T141136.498805 frame_000973
20160723T141136.524909 frame_000974
20160723T141136.547982 frame_000975
20160723T141136.574466 frame_000976
20160723T141136.600017 frame_000977
20160723T141136.621443 frame_000978
20160723T141136.653013 frame_000979
20160723T141136.689798 frame_000980
20160723T141136.718714 frame_000981
20160723T141136.739605 frame_000982
20160723T141136.768960 frame_000983
20160723T141136.789962 frame_000984
20160723T141136.819067 frame_000985
20160723T141136.852875 frame_000986
20160723T141136.891614 frame_000987
20160723T141136.919974 frame_000988
20160723T141136.944209 frame_000989
20160723T141136.973379 frame_000990
20160723T141136.996298 frame_000991
20160723T141137.020358 frame_000992
20160723T141137.041787 frame_000993
20160723T141137.073395 frame_000994
20160723T141137.095124 frame_000995
20160723T141137.120192 frame_000996
20160723T141137.141444 frame_000997
20160723T141137.170141 frame_000998
20160723T141137.192358 frame_000999
20160723T141137.220219 frame_001000
20160723T141137.252974 frame_001001
20160723T141137.290089 frame_001002
20160723T141137.318925 frame_001003
20160723T141137.357136 frame_001004
20160723T141137.396536 frame_001005
20160723T141137.422441 frame_001006
20160723T141137.444706 frame_001007
20160723T141137.473234 frame_001008
20160723T141137.496097 frame_001009
20160723T141137.523419 frame_001010
20160723T141137.544868 frame_001011
20160723T141137.573349 frame_001012
20160723T141137.596149 frame_001013
20160723T141137.623261 frame_001014
20160723T141137.646313 frame_001015
20160723T141137.673286 frame_001016
20160723T141137.696074 frame_001017
20160723T141137.723218 frame_001018
20160723T141137.744944 frame_001019
20160723T141137.771078 frame_001020
20160723T141137.793826 frame_001021
20160723T141137.823371 frame_001022
20160723T141137.844888 frame_001023
20160723T141137.873357 frame_001024
20160723T141137.896087 frame_001025
20160723T141137.923192 frame_001026
20160723T141137.944263 frame_001027
20160723T141137.974096 frame_001028
20160723T141137.996728 frame_001029
20160723T141138.023263 frame_001030
20160723T141138.044821 frame_001031
20160723T141138.070388 frame_001032
20160723T141138.091860 frame_001033
20160723T141138.120135 frame_001034
20160723T141138.153036 frame_001035
20160723T141138.191003 frame_001036
20160723T141138.220144 frame_001037
20160723T141138.259127 frame_001038
20160723T141138.298691 frame_001039
20160723T141138.321171 frame_001040
20160723T141138.342282 frame_001041
20160723T141138.371242 frame_001042
20160723T141138.393063 frame_001043
20160723T141138.418984 frame_001044
20160723T141138.452788 frame_001045
20160723T141138.490145 frame_001046
20160723T141138.513237 frame_001047
20160723T141138.545088 frame_001048
20160723T141138.572933 frame_001049
20160723T141138.598834 frame_001050
20160723T141138.621231 frame_001051
20160723T141138.643367 frame_001052
20160723T141138.672016 frame_001053
20160723T141138.694127 frame_001054
20160723T141138.721811 frame_001055
20160723T141138.742690 frame_001056
20160723T141138.771829 frame_001057
20160723T141138.793401 frame_001058
20160723T141138.821799 frame_001059
20160723T141138.842804 frame_001060
20160723T141138.871767 frame_001061
20160723T141138.894303 frame_001062
20160723T141138.921899 frame_001063
20160723T141138.942963 frame_001064
20160723T141138.971818 frame_001065
20160723T141138.994318 frame_001066
20160723T141139.020118 frame_001067
20160723T141139.054435 frame_001068
20160723T141139.093788 frame_001069
20160723T141139.121827 frame_001070
20160723T141139.143617 frame_001071
20160723T141139.171800 frame_001072
20160723T141139.193425 frame_001073
20160723T141139.221858 frame_001074
20160723T141139.242971 frame_001075
20160723T141139.271656 frame_001076
20160723T141139.294671 frame_001077
20160723T141139.325249 frame_001078
20160723T141139.350855 frame_001079
20160723T141139.403796 frame_001080
20160723T141139.442144 frame_001081
20160723T141139.475801 frame_001082
20160723T141139.501918 frame_001083
20160723T141139.542344 frame_001084
20160723T141139.571932 frame_001085
20160723T141139.594635 frame_001086
20160723T141139.625719 frame_001087
20160723T141139.651196 frame_001088
20160723T141139.672307 frame_001089
20160723T141139.703018 frame_001090
20160723T141139.746011 frame_001091
20160723T141139.777553 frame_001092
20160723T141139.802560 frame_001093
20160723T141139.827175 frame_001094
20160723T141139.850589 frame_001095
20160723T141139.876976 frame_001096
20160723T141139.899625 frame_001097
20160723T141139.923057 frame_001098
20160723T141139.944563 frame_001099
20160723T141139.970316 frame_001100
20160723T141139.992138 frame_001101
20160723T141140.020772 frame_001102
20160723T141140.054036 frame_001103
20160723T141140.091903 frame_001104
20160723T141140.125576 frame_001105
20160723T141140.148096 frame_001106
20160723T141140.170117 frame_001107
20160723T141140.202577 frame_001108
20160723T141140.239215 frame_001109
20160723T141140.269764 frame_001110
20160723T141140.302187 frame_001111
20160723T141140.339816 frame_001112
20160723T141140.371204 frame_001113
20160723T141140.392514 frame_001114
20160723T141140.420598 frame_001115
20160723T141140.453677 frame_001116
20160723T141140.496534 frame_001117
20160723T141140.521069 frame_001118
20160723T141140.553545 frame_001119
20160723T141140.592079 frame_001120
20160723T141140.621550 frame_001121
20160723T141140.642601 frame_001122
20160723T141140.673981 frame_001123
20160723T141140.696828 frame_001124
20160723T141140.721258 frame_001125
20160723T141140.754616 frame_001126
20160723T141140.792335 frame_001127
20160723T141140.821277 frame_001128
20160723T141140.842147 frame_001129
20160723T141140.871163 frame_001130
20160723T141140.904197 frame_001131
20160723T141140.941178 frame_001132
20160723T141140.969710 frame_001133
20160723T141140.990733 frame_001134
20160723T141141.019751 frame_001135
20160723T141141.053694 frame_001136
20160723T141141.090607 frame_001137
20160723T141141.119672 frame_001138
20160723T141141.140709 frame_001139
20160723T141141.170772 frame_001140
20160723T141141.203817 frame_001141
20160723T141141.239910 frame_001142
20160723T141141.269506 frame_001143
20160723T141141.290563 frame_001144
20160723T141141.319502 frame_001145
20160723T141141.353423 frame_001146
20160723T141141.391940 frame_001147
20160723T141141.429245 frame_001148
20160723T141141.457510 frame_001149
20160723T141141.497788 frame_001150
20160723T141141.523024 frame_001151
20160723T141141.547081 frame_001152
20160723T141141.572933 frame_001153
20160723T141141.601170 frame_001154
20160723T141141.642315 frame_001155
20160723T141141.671371 frame_001156
20160723T141141.705152 frame_001157
20160723T141141.741613 frame_001158
20160723T141141.770893 frame_001159
20160723T141141.804464 frame_001160
20160723T141141.841193 frame_001161
20160723T141141.870228 frame_001162
20160723T141141.891258 frame_001163
20160723T141141.919704 frame_001164
20160723T141141.941214 frame_001165
20160723T141141.970048 frame_001166
20160723T141141.991969 frame_001167
20160723T141142.020607 frame_001168
20160723T141142.054209 frame_001169
20160723T141142.091589 frame_001170
20160723T141142.120332 frame_001171
20160723T141142.141268 frame_001172
20160723T141142.170309 frame_001173
20160723T141142.194768 frame_001174
20160723T141142.222480 frame_001175
20160723T141142.253716 frame_001176
20160723T141142.291799 frame_001177
20160723T141142.319979 frame_001178
20160723T141142.354955 frame_001179
20160723T141142.391882 frame_001180
20160723T141142.420372 frame_001181
20160723T141142.455528 frame_001182
20160723T141142.508490 frame_001183
20160723T141142.539021 frame_001184
20160723T141142.569784 frame_001185
20160723T141142.592103 frame_001186
20160723T141142.621314 frame_001187
20160723T141142.655153 frame_001188
20160723T141142.690967 frame_001189
20160723T141142.720840 frame_001190
20160723T141142.741860 frame_001191
20160723T141142.771349 frame_001192
20160723T141142.792474 frame_001193
20160723T141142.821212 frame_001194
20160723T141142.854683 frame_001195
20160723T141142.890894 frame_001196
20160723T141142.920360 frame_001197
20160723T141142.953776 frame_001198
20160723T141142.991925 frame_001199
20160723T141143.019927 frame_001200
20160723T141143.053284 frame_001201
20160723T141143.090403 frame_001202
20160723T141143.119807 frame_001203
20160723T141143.140864 frame_001204
20160723T141143.169722 frame_001205
20160723T141143.191760 frame_001206
20160723T141143.220055 frame_001207
20160723T141143.253727 frame_001208
20160723T141143.290935 frame_001209
20160723T141143.319862 frame_001210
20160723T141143.341100 frame_001211
20160723T141143.374042 frame_001212
20160723T141143.397413 frame_001213
20160723T141143.420104 frame_001214
20160723T141143.445488 frame_001215
20160723T141143.470228 frame_001216
20160723T141143.492612 frame_001217
20160723T141143.552292 frame_001218
20160723T141143.574131 frame_001219
20160723T141143.603508 frame_001220
20160723T141143.641902 frame_001221
20160723T141143.670586 frame_001222
20160723T141143.691642 frame_001223
20160723T141143.719815 frame_001224
20160723T141143.752594 frame_001225
20160723T141143.795205 frame_001226
20160723T141143.821863 frame_001227
20160723T141143.854030 frame_001228
20160723T141143.891835 frame_001229
20160723T141143.919827 frame_001230
20160723T141143.954109 frame_001231
20160723T141143.991187 frame_001232
20160723T141144.019710 frame_001233
20160723T141144.053713 frame_001234
20160723T141144.090287 frame_001235
20160723T141144.119568 frame_001236
20160723T141144.153176 frame_001237
20160723T141144.190215 frame_001238
20160723T141144.219211 frame_001239
20160723T141144.253020 frame_001240
20160723T141144.290164 frame_001241
20160723T141144.319687 frame_001242
20160723T141144.353190 frame_001243
20160723T141144.391281 frame_001244
20160723T141144.419300 frame_001245
20160723T141144.453338 frame_001246
20160723T141144.490376 frame_001247
20160723T141144.519406 frame_001248
20160723T141144.552902 frame_001249
20160723T141144.589681 frame_001250
20160723T141144.619204 frame_001251
20160723T141144.644863 frame_001252
20160723T141144.672761 frame_001253
20160723T141144.694675 frame_001254
20160723T141144.720207 frame_001255
20160723T141144.754220 frame_001256
20160723T141144.791710 frame_001257
20160723T141144.820215 frame_001258
20160723T141144.841782 frame_001259
20160723T141144.870177 frame_001260
20160723T141144.893336 frame_001261
20160723T141144.919365 frame_001262
20160723T141144.953113 frame_001263
20160723T141144.991227 frame_001264
20160723T141145.024305 frame_001265
20160723T141145.046774 frame_001266
20160723T141145.070573 frame_001267
20160723T141145.093177 frame_001268
20160723T141145.125595 frame_001269
20160723T141145.150453 frame_001270
20160723T141145.175258 frame_001271
20160723T141145.200332 frame_001272
20160723T141145.222128 frame_001273
20160723T141145.244624 frame_001274
20160723T141145.270321 frame_001275
20160723T141145.291462 frame_001276
20160723T141145.320020 frame_001277
20160723T141145.353802 frame_001278
20160723T141145.392459 frame_001279
20160723T141145.419239 frame_001280
20160723T141145.440275 frame_001281
20160723T141145.469372 frame_001282
20160723T141145.490380 frame_001283
20160723T141145.519279 frame_001284
20160723T141145.553379 frame_001285
20160723T141145.590940 frame_001286
20160723T141145.619275 frame_001287
20160723T141145.640633 frame_001288
20160723T141145.669507 frame_001289
20160723T141145.695762 frame_001290
20160723T141145.720841 frame_001291
20160723T141145.742322 frame_001292
20160723T141145.771140 frame_001293
20160723T141145.792962 frame_001294
20160723T141145.820435 frame_001295
20160723T141145.853548 frame_001296
20160723T141145.892831 frame_001297
20160723T141145.924279 frame_001298
20160723T141145.946169 frame_001299
20160723T141145.971171 frame_001300
20160723T141145.993530 frame_001301
20160723T141146.026054 frame_001302
20160723T141146.056912 frame_001303
20160723T141146.094594 frame_001304
20160723T141146.121009 frame_001305
20160723T141146.153583 frame_001306
20160723T141146.175018 frame_001307
20160723T141146.204503 frame_001308
20160723T141146.242052 frame_001309
20160723T141146.272407 frame_001310
20160723T141146.304950 frame_001311
20160723T141146.342528 frame_001312
20160723T141146.372377 frame_001313
20160723T141146.393624 frame_001314
20160723T141146.422435 frame_001315
20160723T141146.454389 frame_001316
20160723T141146.493640 frame_001317
20160723T141146.522353 frame_001318
20160723T141146.554400 frame_001319
20160723T141146.593587 frame_001320
20160723T141146.620453 frame_001321
20160723T141146.653281 frame_001322
20160723T141146.690920 frame_001323
20160723T141146.720512 frame_001324
20160723T141146.753015 frame_001325
20160723T141146.791853 frame_001326
20160723T141146.820544 frame_001327
20160723T141146.853127 frame_001328
20160723T141146.891393 frame_001329
20160723T141146.919999 frame_001330
20160723T141146.953896 frame_001331
20160723T141146.991097 frame_001332
20160723T141147.019778 frame_001333
20160723T141147.053601 frame_001334
20160723T141147.091500 frame_001335
20160723T141147.119799 frame_001336
20160723T141147.140644 frame_001337
20160723T141147.170198 frame_001338
20160723T141147.191498 frame_001339
20160723T141147.219861 frame_001340
20160723T141147.253617 frame_001341
20160723T141147.290721 frame_001342
20160723T141147.323206 frame_001343
20160723T141147.347451 frame_001344
20160723T141147.369939 frame_001345
20160723T141147.392672 frame_001346
20160723T141147.420411 frame_001347
20160723T141147.454375 frame_001348
20160723T141147.490879 frame_001349
20160723T141147.519848 frame_001350
20160723T141147.553472 frame_001351
20160723T141147.592028 frame_001352
20160723T141147.619753 frame_001353
20160723T141147.640688 frame_001354
20160723T141147.669902 frame_001355
20160723T141147.690883 frame_001356
20160723T141147.722255 frame_001357
20160723T141147.745883 frame_001358
20160723T141147.770991 frame_001359
20160723T141147.803908 frame_001360
20160723T141147.841085 frame_001361
20160723T141147.870163 frame_001362
20160723T141147.891915 frame_001363
20160723T141147.920315 frame_001364
20160723T141147.953767 frame_001365
20160723T141147.991413 frame_001366
20160723T141148.021834 frame_001367
20160723T141148.044023 frame_001368
20160723T141148.070188 frame_001369
20160723T141148.091536 frame_001370
20160723T141148.120191 frame_001371
20160723T141148.141980 frame_001372
20160723T141148.170102 frame_001373
20160723T141148.191678 frame_001374
20160723T141148.220143 frame_001375
20160723T141148.254195 frame_001376
20160723T141148.291747 frame_001377
20160723T141148.320283 frame_001378
20160723T141148.354315 frame_001379
20160723T141148.391361 frame_001380
20160723T141148.419891 frame_001381
20160723T141148.440879 frame_001382
20160723T141148.470080 frame_001383
20160723T141148.490964 frame_001384
20160723T141148.532174 frame_001385
20160723T141148.556578 frame_001386
20160723T141148.589750 frame_001387
20160723T141148.620547 frame_001388
20160723T141148.653025 frame_001389
20160723T141148.714232 frame_001390
20160723T141148.739037 frame_001391
20160723T141148.770048 frame_001392
20160723T141148.791483 frame_001393
20160723T141148.820654 frame_001394
20160723T141148.855564 frame_001395
20160723T141148.894112 frame_001396
20160723T141148.920349 frame_001397
20160723T141148.953402 frame_001398
20160723T141148.990265 frame_001399
20160723T141149.020761 frame_001400
20160723T141149.053370 frame_001401
20160723T141149.091509 frame_001402
20160723T141149.120670 frame_001403
20160723T141149.153185 frame_001404
20160723T141149.191467 frame_001405
20160723T141149.220472 frame_001406
20160723T141149.253211 frame_001407
20160723T141149.290922 frame_001408
20160723T141149.320634 frame_001409
20160723T141149.353111 frame_001410
20160723T141149.390772 frame_001411
20160723T141149.419838 frame_001412
20160723T141149.453970 frame_001413
20160723T141149.492468 frame_001414
20160723T141149.522609 frame_001415
20160723T141149.555065 frame_001416
20160723T141149.591180 frame_001417
20160723T141149.620141 frame_001418
20160723T141149.641691 frame_001419
20160723T141149.672531 frame_001420
20160723T141149.696566 frame_001421
20160723T141149.720183 frame_001422
20160723T141149.753729 frame_001423
20160723T141149.791207 frame_001424
20160723T141149.821266 frame_001425
20160723T141149.854586 frame_001426
20160723T141149.892586 frame_001427
20160723T141149.921677 frame_001428
20160723T141149.954796 frame_001429
20160723T141149.991322 frame_001430
20160723T141150.021695 frame_001431
20160723T141150.054307 frame_001432
20160723T141150.093153 frame_001433
20160723T141150.121632 frame_001434
20160723T141150.153956 frame_001435
