---,built_item_part_id,built_item_id,bp_class_to_spawn,location,rotation,scale,StaticMesh_if_not_BP
part_stone_battle_slope_wall_thin,"part_stone_battle_slope_wall_thin","part_stone_battle_slope_wall_thin","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Battlements_01_Slope_Left_01.SM_CF_01_Stone_Wall_Battlements_01_Slope_Left_01'"
env_cliff_moss_curve01,"env_cliff_moss_rock_curve01","env_cliff_moss_rock_curve01","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/Environment/floor/SM_env_cliff_moss_curve01.SM_env_cliff_moss_curve01'"
env_cliff_rock_curve01,"env_cliff_rock_curve01","env_cliff_rock_curve01","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=200.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/Environment/floor/SM_env_cliff_rock_curve01.SM_env_cliff_rock_curve01'"
env_cliff_rock_straight01,"env_cliff_rock_straight01","env_cliff_rock_straight01","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=200.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/Environment/floor/SM_env_cliff_rock_straight01.SM_env_cliff_rock_straight01'"
env_cliff_rock_U_shape1,"env_cliff_rock_U_shape1","env_cliff_rock_U_shape1","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=-1000.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/Environment/floor/SM_env_cliff_rock_u_shape01.SM_env_cliff_rock_u_shape01'"
env_cliff_rock_mountain_lake,"env_cliff_rock_mountain_lake","env_cliff_rock_mountain_lake","BlueprintGeneratedClass'/Game/_DJM/Environment/floor/BP_env_mountain_lake.BP_env_mountain_lake_C'","(X=2100.000000,Y=200.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
part_wood_plank_cedar_240x43,"part_wood_plank_cedar_240x43","part_wood_plank_cedar_240x43","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/crafting/woodwork/SM_wood_plank_cedar.SM_wood_plank_cedar'"
part_wood_plank_pine_240x43,"part_wood_plank_pine_240x43","part_wood_plank_pine_240x43","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/crafting/woodwork/SM_wood_plank_pine.SM_wood_plank_pine'"
part_wood_plank_oak_240x43,"part_wood_plank_oak_240x43","part_wood_plank_oak_240x43","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/crafting/woodwork/SM_wood_plank_oak.SM_wood_plank_oak'"
part_wood_sticks_small,"part_wood_sticks_small","part_wood_sticks_small","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/crafting/woodwork/SM_wood_sticks.SM_wood_sticks'"
farm_plot_round,"farm_plot_round","farm_plot_round","BlueprintGeneratedClass'/Game/_DJM/crafting/farming/BP_Farmplot.BP_Farmplot_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
tool_station_workbench_wood,"tool_station_workbench_wood","tool_station_workbench_wood","BlueprintGeneratedClass'/Game/_DJM/crafting/building/BP_Station_Workbench.BP_Station_Workbench_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
plant_bush_harvestable_blueberry,"plant_bush_harvestable_blueberry","plant_bush_harvestable_blueberry","BlueprintGeneratedClass'/Game/_DJM/Environment/PN_WildBerries/Blueprints/BP_Plant_Havestable.BP_Plant_Havestable_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
plant_garden_pot_round,"plant_garden_pot_round","plant_garden_pot_round","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/crafting/building/furniture/outdoor/SM_garden_planter_round.SM_garden_planter_round'"
plant_garden_pot_small,"plant_garden_pot_small","plant_garden_pot_small","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/crafting/building/furniture/outdoor/SM_garden_planter_rect1blend.SM_garden_planter_rect1blend'"
house_stockpile,"house_stockpile","house_stockpile","BlueprintGeneratedClass'/Game/_DJM/Environment/stockpile/BP_Stockpile.BP_Stockpile_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
light_streetlamp_wood,"light_streetlamp_wood","light_streetlamp_wood","BlueprintGeneratedClass'/Game/_DJM/Environment/lights/BP_Light_Streetlamp.BP_Light_Streetlamp_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
light_dungeon_lamp_square,"light_dungeon_lamp_square","light_dungeon_lamp_square","BlueprintGeneratedClass'/Game/DungeonLamps/Bluprints/BP_DungeonLamp_00.BP_DungeonLamp_00_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
light_dungeon_lamp_cage,"light_dungeon_lamp_cage","light_dungeon_lamp_cage","BlueprintGeneratedClass'/Game/DungeonLamps/Bluprints/BP_DungeonLamp_01.BP_DungeonLamp_01_C'","(X=0.000000,Y=0.000000,Z=90.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
light_dungeon_lamp_stick,"light_dungeon_lamp_stick","light_dungeon_lamp_stick","BlueprintGeneratedClass'/Game/DungeonLamps/Bluprints/BP_DungeonLamp_02.BP_DungeonLamp_02_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
env_effects_mist,"env_effects_mist","env_effects_mist","BlueprintGeneratedClass'/Game/ConstructionSite/Effects/Mist_01/bp_Mist_01_01_Particle.bp_Mist_01_01_Particle_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
env_effects_fog,"env_effects_fog","env_effects_fog","BlueprintGeneratedClass'/Game/ConstructionSite/Effects/Fog_01/bp_Fog_01_01.bp_Fog_01_01_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
env_effects_rain,"env_effects_rain","env_effects_rain","BlueprintGeneratedClass'/Game/_DJM/Environment/weather/BP_Weather_Rain_local.BP_Weather_Rain_local_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
